Date,Predicted_Conso_kWh
2014-01-13,11.00354181691105
2014-01-14,10.882072603256018
2014-01-15,10.915730962283089
2014-01-16,10.979813690153955
2014-01-17,11.007991806720176
2014-01-18,11.146574305710931
2014-01-19,11.192768854022027
2014-01-20,11.049684470697853
2014-01-21,10.829321465353411
2014-01-22,10.834720262881136
2014-01-23,10.847163708042492
2014-01-24,10.831951898235339
2014-01-25,11.02308534942958
2014-01-26,11.084184027722191
2014-01-27,10.849412531594368
2014-01-28,10.836640219702138
2014-01-29,10.808795870722639
2014-01-30,10.850262504386427
2014-01-31,10.87807670197016
2014-02-01,11.038794747313734
2014-02-02,11.060850967800024
2014-02-03,10.874821094104762
2014-02-04,10.843756047231548
2014-02-05,10.862775630512727
2014-02-06,10.87129331006378
2014-02-07,10.869213498321615
2014-02-08,11.052650619272418
2014-02-09,11.11249884921049
2014-02-10,10.878158206598334
2014-02-11,10.84985905610068
2014-02-12,10.814626333858513
2014-02-13,10.840142778346218
