Date,Predicted_Conso_kWh
2014-01-13,7.721022585241335
2014-01-14,7.645850794745674
2014-01-15,7.644112879364932
2014-01-16,7.695886384288943
2014-01-17,7.693637195196288
2014-01-18,7.685639777181803
2014-01-19,7.682828501267062
2014-01-20,7.59318002459548
2014-01-21,7.5799769319312
2014-01-22,7.607090941980863
2014-01-23,7.626094971525163
2014-01-24,7.642603604440181
2014-01-25,7.63899333197507
2014-01-26,7.706840577411316
2014-01-27,7.701971700017652
2014-01-28,7.642848346838712
2014-01-29,7.586308728719558
2014-01-30,7.606375743219871
2014-01-31,7.658694320387153
2014-02-01,7.6778421035905
2014-02-02,7.685852278153053
2014-02-03,7.6411045291753
2014-02-04,7.637079006433038
2014-02-05,7.641582821582721
2014-02-06,7.640979604125238
2014-02-07,7.6231437995404185
2014-02-08,7.6476214583483335
2014-02-09,7.6868171604995545
2014-02-10,7.675689943343128
2014-02-11,7.572401101187879
2014-02-12,7.533086729517521
2014-02-13,7.468548765809588
