Date,Predicted_Conso_kWh,lag_1,lag_7,rolling_mean_7,rolling_mean_30
2014-01-13,7.721022585241335,7.93850961826923,7.22955012492532,7.3861192981857045,7.192343737390745
2014-01-14,7.645850794745674,7.721022585241335,7.33923076634615,7.4563296496594225,7.216973336450072
2014-01-15,7.644112879364932,7.645850794745674,7.03818269038462,7.500132510859354,7.238583181214559
2014-01-16,7.695886384288943,7.644112879364932,7.45142920083615,7.586693966427971,7.233450184720775
2014-01-17,7.693637195196288,7.695886384288943,7.38201923365385,7.62161642120694,7.248710714422054
2014-01-18,7.685639777181803,7.693637195196288,7.32391345288462,7.66613327285586,7.269691889902955
2014-01-19,7.682828501267062,7.685639777181803,7.93850961826923,7.717808462041172,7.288103920584657
2014-01-20,7.59318002459548,7.682828501267062,7.721022585241335,7.68128258818372,7.313125848776631
2014-01-21,7.5799769319312,7.59318002459548,7.645850794745674,7.6630193652343115,7.319068708731095
2014-01-22,7.607090941980863,7.5799769319312,7.644112879364932,7.653608813403673,7.324769221622391
2014-01-23,7.626094971525163,7.607090941980863,7.695886384288943,7.648319965205948,7.332755906675599
2014-01-24,7.642603604440181,7.626094971525163,7.693637195196288,7.638349763382552,7.3445307820715495
2014-01-25,7.63899333197507,7.642603604440181,7.685639777181803,7.631059250417393,7.36454433643819
2014-01-26,7.706840577411316,7.63899333197507,7.682828501267062,7.6243954725307175,7.378482274092898
2014-01-27,7.701971700017652,7.706840577411316,7.59318002459548,7.627825769122753,7.407416413880146
2014-01-28,7.642848346838712,7.701971700017652,7.5799769319312,7.643367437040206,7.435650502942845
2014-01-29,7.586308728719558,7.642848346838712,7.607090941980863,7.652349067741279,7.465747707050189
2014-01-30,7.606375743219871,7.586308728719558,7.626094971525163,7.649380180132522,7.479548006956047
2014-01-31,7.658694320387153,7.606375743219871,7.642603604440181,7.6465631475174805,7.506363140241368
2014-02-01,7.6778421035905,7.658694320387153,7.63899333197507,7.64886182122419,7.526305378202494
2014-02-02,7.685852278153053,7.6778421035905,7.706840577411316,7.654411645740681,7.545209499972662
2014-02-03,7.6411045291753,7.685852278153053,7.701971700017652,7.651413317275214,7.569197132610126
2014-02-04,7.637079006433038,7.6411045291753,7.642848346838712,7.642718007154878,7.578719387466132
2014-02-05,7.641582821582721,7.637079006433038,7.586308728719558,7.641893815668354,7.590155678166002
2014-02-06,7.640979604125238,7.641582821582721,7.606375743219871,7.649790114648806,7.603890101387916
2014-02-07,7.6231437995404185,7.640979604125238,7.658694320387153,7.654733523349572,7.613948395980552
2014-02-08,7.6476214583483335,7.6231437995404185,7.6778421035905,7.649654877514324,7.633447099619079
2014-02-09,7.6868171604995545,7.6476214583483335,7.685852278153053,7.645337642479729,7.639986841536152
2014-02-10,7.675689943343128,7.6868171604995545,7.6411045291753,7.645475482814943,7.650146772431008
2014-02-11,7.572401101187879,7.675689943343128,7.637079006433038,7.650416256267491,7.661872655446293
2014-02-12,7.533086729517521,7.572401101187879,7.641582821582721,7.641176555518181,7.649669038210247
2014-02-13,7.468548765809588,7.533086729517521,7.640979604125238,7.625677113794581,7.64340450968612
