Date,Predicted_Conso_kWh
2014-01-13,10.987588829333856
2014-01-14,10.778623738875961
2014-01-15,10.902421493049856
2014-01-16,10.902214598353593
2014-01-17,10.941651713693194
2014-01-18,11.1063105202768
2014-01-19,11.164560818454436
2014-01-20,10.8719273782233
2014-01-21,10.83036433434735
2014-01-22,10.851503667347636
2014-01-23,10.809340812745994
2014-01-24,10.850969406109192
2014-01-25,11.031110404552162
2014-01-26,11.045804075815777
2014-01-27,10.829183503384863
2014-01-28,10.864412748714397
2014-01-29,10.846309980643156
2014-01-30,10.898729680301775
2014-01-31,10.842238221767833
2014-02-01,11.015668564160073
2014-02-02,11.062849687457172
2014-02-03,10.880457204704912
2014-02-04,10.894020484753595
2014-02-05,10.873233325040257
2014-02-06,10.901193848482153
2014-02-07,10.855797779184746
2014-02-08,11.041769987876696
2014-02-09,11.11200486166619
2014-02-10,10.870165972204834
2014-02-11,10.891334834427349
2014-02-12,10.797533669198591
2014-02-13,10.86016115469401
