Date,Predicted_Conso_kWh
2014-01-13,5.143769729869795
2014-01-14,5.133150300565363
2014-01-15,5.1129250937916755
2014-01-16,5.137284124968893
2014-01-17,5.126398986036332
2014-01-18,5.125916268092362
2014-01-19,5.195615359402223
2014-01-20,5.122625617953111
2014-01-21,5.117008063110558
2014-01-22,5.078087312209459
2014-01-23,5.091897527606179
2014-01-24,5.0717323257554
2014-01-25,5.092772802899303
2014-01-26,5.14516309878322
2014-01-27,5.111254542716332
2014-01-28,5.117475868589584
2014-01-29,5.134507866035789
2014-01-30,5.098058657762462
2014-01-31,5.089044461939632
2014-02-01,5.112600628890348
2014-02-02,5.203417307320928
2014-02-03,5.125253696582902
2014-02-04,5.111516024090935
2014-02-05,5.109786638306069
2014-02-06,5.086237871457785
2014-02-07,5.101025064932999
2014-02-08,5.132545586186589
2014-02-09,5.183311663634107
2014-02-10,5.1134673951923135
2014-02-11,5.144463802128928
2014-02-12,5.118799282477105
2014-02-13,5.100887207853599
