Date,Predicted_Conso_kWh
2014-01-13,14.084659443581526
2014-01-14,13.92980310907942
2014-01-15,13.889378850675632
2014-01-16,13.775742269997885
2014-01-17,13.805504894386196
2014-01-18,13.809105020708747
2014-01-19,13.88454756699696
2014-01-20,13.862432587194252
2014-01-21,13.67768489826714
2014-01-22,13.595011725412053
2014-01-23,13.767980654130746
2014-01-24,13.958899435558042
2014-01-25,13.784922241975554
2014-01-26,13.818125385992557
2014-01-27,13.589987907894848
2014-01-28,13.657454439161436
2014-01-29,13.858397248567497
2014-01-30,13.788650670739019
2014-01-31,13.7343240761573
2014-02-01,13.78020631614914
2014-02-02,13.82117743082391
2014-02-03,13.700196349265347
2014-02-04,13.658490678156657
2014-02-05,13.616772979759297
2014-02-06,13.600313361864282
2014-02-07,13.617044652186262
2014-02-08,13.74066840791523
2014-02-09,13.932479705518414
2014-02-10,13.673950591360422
2014-02-11,13.645093785051001
2014-02-12,13.704377638955833
2014-02-13,13.771140556417825
