Date,Predicted_Conso_kWh,lag_1,lag_7,rolling_mean_7,rolling_mean_30
2014-01-13,14.084659443581526,14.8174580321447,13.0160385919836,13.2800241711723,14.143172198910749
2014-01-14,13.92980310907942,14.084659443581526,12.705021425,13.432684292829148,14.164948942315847
2014-01-15,13.889378850675632,13.92980310907942,12.9862527098631,13.607653104840493,14.171330474499449
2014-01-16,13.775742269997885,13.889378850675632,12.7020582372112,13.736671124956567,14.171254293569593
2014-01-17,13.805504894386196,13.775742269997885,12.99151987534,13.89005455821181,14.185519511974285
2014-01-18,13.809105020708747,13.805504894386196,13.7418203266635,14.006338132361265,14.198038008430013
2014-01-19,13.88454756699696,13.809105020708747,14.8174580321447,14.015950231510587,14.216225319048872
2014-01-20,13.862432587194252,13.88454756699696,14.084659443581526,13.88267730791805,14.236527380639249
2014-01-21,13.67768489826714,13.862432587194252,13.92980310907942,13.85093061414844,14.236221086021912
2014-01-22,13.595011725412053,13.67768489826714,13.889378850675632,13.814913726889545,14.173280820678436
2014-01-23,13.767980654130746,13.595011725412053,13.775742269997885,13.772861280423319,14.13440002081122
2014-01-24,13.958899435558042,13.767980654130746,13.805504894386196,13.771752478156584,14.049470090591766
2014-01-25,13.784922241975554,13.958899435558042,13.809105020708747,13.793665984038276,13.983157072511577
2014-01-26,13.818125385992557,13.784922241975554,13.88454756699696,13.790211301362104,13.846594367405794
2014-01-27,13.589987907894848,13.818125385992557,13.862432587194252,13.780722418361478,13.794288477783258
2014-01-28,13.657454439161436,13.589987907894848,13.67768489826714,13.741801749890135,13.737091884236895
2014-01-29,13.858397248567497,13.657454439161436,13.595011725412053,13.738911684303606,13.710565603423229
2014-01-30,13.788650670739019,13.858397248567497,13.767980654130746,13.776538187611527,13.686316226161193
2014-01-31,13.7343240761573,13.788650670739019,13.958899435558042,13.779491047126994,13.68553563396878
2014-02-01,13.78020631614914,13.7343240761573,13.784922241975554,13.747408852926887,13.675994248995021
2014-02-02,13.82117743082391,13.78020631614914,13.818125385992557,13.746735149237399,13.69900017379523
2014-02-03,13.700196349265347,13.82117743082391,13.589987907894848,13.74717115564188,13.715444421275073
2014-02-04,13.658490678156657,13.700196349265347,13.657454439161436,13.762915218694806,13.688591837374705
2014-02-05,13.616772979759297,13.658490678156657,13.858397248567497,13.763063252836982,13.673095079969265
2014-02-06,13.600313361864282,13.616772979759297,13.788650670739019,13.728545500150094,13.693119559561788
2014-02-07,13.617044652186262,13.600313361864282,13.7343240761573,13.70164017031085,13.722962624123932
2014-02-08,13.74066840791523,13.617044652186262,13.78020631614914,13.684885966886412,13.743989022201369
2014-02-09,13.932479705518414,13.74066840791523,13.82117743082391,13.679237694281571,13.778609361224836
2014-02-10,13.673950591360422,13.932479705518414,13.700196349265347,13.695138019237929,13.809974688897452
2014-02-11,13.645093785051001,13.673950591360422,13.658490678156657,13.69138862525151,13.80771236438735
2014-02-12,13.704377638955833,13.645093785051001,13.616772979759297,13.689474783379271,13.768633556150892
2014-02-13,13.771140556417825,13.704377638955833,13.600313361864282,13.701989734693063,13.755957495996704
