Date,Predicted_Conso_kWh
2014-01-13,9.751715261302822
2014-01-14,9.668159836043591
2014-01-15,9.683796097324388
2014-01-16,9.75387492385414
2014-01-17,9.812804428845826
2014-01-18,9.826038001246616
2014-01-19,9.878782148381053
2014-01-20,9.755639198544724
2014-01-21,9.686927347497257
2014-01-22,9.632901548841401
2014-01-23,9.640133472760729
2014-01-24,9.684889655893919
2014-01-25,9.705764308277107
2014-01-26,9.792375643488846
2014-01-27,9.642017310988628
2014-01-28,9.625602728388145
2014-01-29,9.665044409761144
2014-01-30,9.637185686557453
2014-01-31,9.65694811908011
2014-02-01,9.727228351899303
2014-02-02,9.795046774486151
2014-02-03,9.630822612531574
2014-02-04,9.594042618705418
2014-02-05,9.644784872080399
2014-02-06,9.587032746330781
2014-02-07,9.689634573480296
2014-02-08,9.730257300023766
2014-02-09,9.797426321647011
2014-02-10,9.621494679848475
2014-02-11,9.59554520326467
2014-02-12,9.607587756725682
2014-02-13,9.634050643470731
