Date,Predicted_Conso_kWh
2014-01-13,7.608059520968277
2014-01-14,7.582462525864252
2014-01-15,7.606078919692954
2014-01-16,7.5881281728243035
2014-01-17,7.605855680491981
2014-01-18,7.679336977844755
2014-01-19,7.747559207385837
2014-01-20,7.5219432603812715
2014-01-21,7.539690359820229
2014-01-22,7.505604500502582
2014-01-23,7.548768381303173
2014-01-24,7.561919049731725
2014-01-25,7.601516424936541
2014-01-26,7.675386482465756
2014-01-27,7.503246452458792
2014-01-28,7.5113151633015685
2014-01-29,7.502276967546809
2014-01-30,7.508470758277663
2014-01-31,7.543111170257687
2014-02-01,7.590992885629838
2014-02-02,7.690578814217357
2014-02-03,7.500760947002535
2014-02-04,7.491356780244262
2014-02-05,7.52660773512413
2014-02-06,7.51928125958655
2014-02-07,7.545024975386849
2014-02-08,7.597969676978827
2014-02-09,7.702953121143917
2014-02-10,7.5438019059934245
2014-02-11,7.50837666041869
2014-02-12,7.518856714463561
2014-02-13,7.508701822849888
