Date,Conso_kWh_predict
2014-01-13,7.714973758877416
2014-01-14,7.627941521328985
2014-01-15,7.6085583929384075
2014-01-16,7.665767960567168
2014-01-17,7.728788697426325
2014-01-18,7.705477852578852
2014-01-19,7.709836654458653
2014-01-20,7.60676988898912
2014-01-21,7.593804663319607
2014-01-22,7.634829398507728
2014-01-23,7.64266613751214
2014-01-24,7.652665596113585
2014-01-25,7.691354137883622
2014-01-26,7.729330215601206
2014-01-27,7.604287684416404
2014-01-28,7.604605929415032
2014-01-29,7.623157038004623
2014-01-30,7.631803064892291
2014-01-31,7.6290838063645925
2014-02-01,7.681310924771894
2014-02-02,7.735902562731043
2014-02-03,7.604879530106912
2014-02-04,7.597874546464413
2014-02-05,7.63162164714982
2014-02-06,7.635913973956002
2014-02-07,7.618375481971913
2014-02-08,7.677768995785129
2014-02-09,7.703383488440086
2014-02-10,7.583031920165277
2014-02-11,7.552020777333902
2014-02-12,7.5461176008860225
2014-02-13,7.5042791776175575
