Date,Predicted_Conso_kWh,lag_1,lag_7,rolling_mean_7,rolling_mean_30
2014-01-13,11.073092355090477,11.9042662421751,10.3410238171964,10.480925361408579,10.66933782663392
2014-01-14,10.957606871559502,11.073092355090477,10.2997080047096,10.585506581107733,10.697137831598386
2014-01-15,10.918764441761317,10.957606871559502,9.80076793386685,10.679492133514861,10.705980037201211
2014-01-16,10.94331304006024,10.918764441761317,10.1568953607189,10.839205920356928,10.696657733256563
2014-01-17,10.977354187816214,10.94331304006024,10.2998451237386,10.951551303119974,10.721548962100428
2014-01-18,11.133649135033561,10.977354187816214,10.5639710474546,11.048338312273923,10.744252240313482
2014-01-19,11.177645912504746,11.133649135033561,11.9042662421751,11.129720896213774,10.774220584128356
2014-01-20,10.926696994396739,11.177645912504746,11.073092355090477,11.02591799197515,10.799439219019314
2014-01-21,10.849342888259661,10.926696994396739,10.957606871559502,11.005004369018902,10.817915834852032
2014-01-22,10.817402008428193,10.849342888259661,10.918764441761317,10.989538085690354,10.811044258224156
2014-01-23,10.871194107041378,10.817402008428193,10.94331304006024,10.975057738071333,10.8022615027358
2014-01-24,10.862218571516406,10.871194107041378,10.977354187816214,10.964755033354356,10.800074252175001
2014-01-25,11.005562871344228,10.862218571516406,11.133649135033561,10.94830708816867,10.800315870169152
2014-01-26,11.051127452562877,11.005562871344228,11.177645912504746,10.930009050498764,10.789972793758855
2014-01-27,10.857014663031416,11.051127452562877,10.926696994396739,10.911934984792783,10.81498415208847
2014-01-28,10.840633516020992,10.857014663031416,10.849342888259661,10.90198036602631,10.818846356281602
2014-01-29,10.852134766398278,10.840633516020992,10.817402008428193,10.900736169992214,10.833671569056763
2014-01-30,10.865061152983605,10.852134766398278,10.871194107041378,10.905697992559368,10.828868301594348
2014-01-31,10.87029416849806,10.865061152983605,10.862218571516406,10.9048218562654,10.824598806719965
2014-02-01,11.055391255062641,10.87029416849806,11.005562871344228,10.905975512977065,10.823119171511626
2014-02-02,11.097348025893671,11.055391255062641,11.051127452562877,10.913093853508268,10.843592094094209
2014-02-03,10.847375136279755,11.097348025893671,10.857014663031416,10.919696792555524,10.857827310453676
2014-02-04,10.858454589956336,10.847375136279755,10.840633516020992,10.918319717305284,10.858324402409842
2014-02-05,10.890019268350029,10.858454589956336,10.852134766398278,10.920865585010336,10.835838521378681
2014-02-06,10.838603850824,10.890019268350029,10.865061152983605,10.92627765671773,10.854138369750467
2014-02-07,10.849503799588058,10.838603850824,10.87029416849806,10.922498042123499,10.872101564620948
2014-02-08,11.023133818271647,10.849503799588058,11.055391255062641,10.91952798942207,10.907059426811655
2014-02-09,11.107809494287563,11.023133818271647,11.097348025893671,10.914919784166214,10.935934042063412
2014-02-10,10.84089328737466,11.107809494287563,10.847375136279755,10.916414279651056,10.962866187748377
2014-02-11,10.897492131388685,10.84089328737466,10.858454589956336,10.91548830123604,10.972096929079045
2014-02-12,10.8055367441674,10.897492131388685,10.890019268350029,10.921065092869236,10.93853779205283
2014-02-13,10.840661806536113,10.8055367441674,10.838603850824,10.908996160843145,10.929619271688727
