Date,Predicted_Conso_kWh,lag_1,lag_7,rolling_mean_7,rolling_mean_30
2014-01-13,7.714973758877416,7.93850961826923,7.22955012492532,7.3861192981857045,7.192343737390745
2014-01-14,7.627941521328985,7.714973758877416,7.33923076634615,7.455465531607433,7.2167717089046075
2014-01-15,7.6085583929384075,7.627941521328985,7.03818269038462,7.496709925176409,7.2377845778885375
2014-01-16,7.665767960567168,7.6085583929384075,7.45142920083615,7.578192168398379,7.2314664318472035
2014-01-17,7.728788697426325,7.665767960567168,7.38201923365385,7.608811991217096,7.245723014091089
2014-01-18,7.705477852578852,7.728788697426325,7.32391345288462,7.658350486041735,7.267875906312992
2014-01-19,7.709836654458653,7.705477852578852,7.93850961826923,7.712859685998055,7.2869492061745955
2014-01-20,7.60676988898912,7.709836654458653,7.714973758877416,7.680192119739401,7.312871406139623
2014-01-21,7.593804663319607,7.60676988898912,7.627941521328985,7.6647344240410735,7.319267261573876
2014-01-22,7.634829398507728,7.593804663319607,7.6085583929384075,7.659857730039733,7.325428698844785
2014-01-23,7.64266613751214,7.634829398507728,7.665767960567168,7.663610730835351,7.334339999115556
2014-01-24,7.652665596113585,7.64266613751214,7.728788697426325,7.660310470398917,7.346667246711074
2014-01-25,7.691354137883622,7.652665596113585,7.705477852578852,7.649435741639954,7.367016200800159
2014-01-26,7.729330215601206,7.691354137883622,7.709836654458653,7.6474180681120645,7.382699498651818
2014-01-27,7.604287684416404,7.729330215601206,7.60676988898912,7.6502028625610015,7.412383293045396
2014-01-28,7.604605929415032,7.604287684416404,7.593804663319607,7.649848261907757,7.43736124825472
2014-01-29,7.623157038004623,7.604605929415032,7.634829398507728,7.651391299921388,7.46618370511461
2014-01-30,7.631803064892291,7.623157038004623,7.64266613751214,7.649723819849515,7.481212281996633
2014-01-31,7.6290838063645925,7.631803064892291,7.652665596113585,7.648171952332393,7.508874992671037
2014-02-01,7.681310924771894,7.6290838063645925,7.691354137883622,7.644803125225395,7.527830213498078
2014-02-02,7.735902562731043,7.681310924771894,7.729330215601206,7.643368380495149,7.54684996264096
2014-02-03,7.604879530106912,7.735902562731043,7.604287684416404,7.644307287227982,7.572505938097691
2014-02-04,7.597874546464413,7.604879530106912,7.604605929415032,7.644391836612341,7.580820692984748
2014-02-05,7.63162164714982,7.597874546464413,7.623157038004623,7.643430210476538,7.590950168352333
2014-02-06,7.635913973956002,7.63162164714982,7.631803064892291,7.644639440354424,7.604352552426482
2014-02-07,7.618375481971913,7.635913973956002,7.6290838063645925,7.645226713077811,7.614241992680144
2014-02-08,7.677768995785129,7.618375481971913,7.681310924771894,7.643696952450284,7.633581752399721
2014-02-09,7.703383488440086,7.677768995785129,7.735902562731043,7.6431909625950345,7.641126412231353
2014-02-10,7.583031920165277,7.703383488440086,7.604879530106912,7.6385453805534675,7.651838554057561
2014-02-11,7.552020777333902,7.583031920165277,7.597874546464413,7.635424293418949,7.660475836300249
2014-02-12,7.5461176008860225,7.552020777333902,7.63162164714982,7.628873754971733,7.647592874935739
2014-02-13,7.5042791776175575,7.5461176008860225,7.635913973956002,7.616658891219761,7.641964336336026
